round,fl_k1,fl_k2,gl_k1,gl_k2,reached0,reached6
1,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
2,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
3,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
4,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
5,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
6,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
7,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
8,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
9,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
10,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
11,99.63953488372093,3.808139534883721,11.79408914728682,3.8081395348837215,1,0
12,99.63953488372093,3.808139534883721,19.780038759689923,3.8081395348837215,2,0
13,99.63953488372093,3.808139534883721,19.780038759689923,3.8081395348837215,2,0
14,99.63953488372093,3.808139534883721,27.765988372093023,3.8081395348837206,3,0
15,99.63953488372093,3.808139534883721,35.751937984496124,3.8081395348837206,4,0
16,99.63953488372093,99.63953488372093,51.723837209302324,3.8081395348837206,5,1
17,99.63953488372093,99.63953488372093,59.70978682170543,3.8081395348837206,6,1
18,99.63953488372093,99.63953488372093,67.69573643410853,11.79408914728682,7,2
19,99.63953488372093,99.63953488372093,67.69573643410853,19.78003875968992,8,2
20,99.63953488372093,99.63953488372093,75.68168604651163,27.765988372093023,9,3
21,99.63953488372093,99.63953488372093,83.66763565891473,35.751937984496124,10,4
22,99.63953488372093,99.63953488372093,91.65358527131782,43.73788759689922,11,5
23,99.63953488372093,99.63953488372093,99.63953488372094,51.72383720930233,12,6
24,99.63953488372093,99.63953488372093,99.63953488372094,59.70978682170543,12,7
25,99.63953488372093,99.63953488372093,99.63953488372094,67.69573643410853,12,8
26,99.63953488372093,99.63953488372093,99.63953488372094,75.68168604651162,12,9
27,99.63953488372093,99.63953488372093,99.63953488372091,83.66763565891472,12,10
28,99.63953488372093,99.63953488372093,99.63953488372091,91.65358527131782,12,11
29,99.63953488372093,99.63953488372093,99.63953488372094,99.63953488372094,12,12
30,99.63953488372093,99.63953488372093,99.63953488372094,99.63953488372094,12,12
31,99.63953488372093,99.63953488372093,99.63953488372094,99.63953488372094,12,12
32,99.63953488372093,99.63953488372093,99.63953488372094,99.63953488372094,12,12
33,99.63953488372093,99.63953488372093,99.63953488372094,99.63953488372094,12,12
34,99.63953488372093,99.63953488372093,99.63953488372094,99.63953488372094,12,12
