k,f1,recall,precision,fpr,mcc,tp,fp,fn,tn
1,95.7152,99.9676,91.8099,0.6490,0.9549,200444,17881,65,2737258
2,87.6882,78.0947,99.9687,0.0018,0.8766,156587,49,43922,2755090
