round,fl_k1,fl_k2,gl_k1,gl_k2,reached0,reached6
1,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
2,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
3,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
4,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
5,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
6,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
7,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
8,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
9,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
10,3.808139534883721,3.808139534883721,3.8081395348837206,3.8081395348837206,0,0
11,99.63953488372093,3.808139534883721,11.79408914728682,3.8081395348837215,1,0
12,99.63953488372093,3.808139534883721,19.780038759689923,3.8081395348837215,2,0
13,99.63953488372093,3.808139534883721,19.780038759689923,3.8081395348837215,2,0
14,99.63953488372093,3.808139534883721,27.765988372093023,3.8081395348837206,3,0
15,99.63953488372093,3.808139534883721,35.751937984496124,3.8081395348837206,4,0
16,99.63953488372093,3.808139534883721,43.73788759689922,3.8081395348837206,5,0
17,99.63953488372093,3.808139534883721,51.72383720930233,3.8081395348837206,6,0
18,99.63953488372093,3.808139534883721,59.70978682170543,3.8081395348837206,7,0
19,99.63953488372093,3.808139534883721,67.69573643410853,3.8081395348837206,8,0
20,99.63953488372093,3.808139534883721,75.68168604651162,3.8081395348837206,9,0
21,99.63953488372093,3.808139534883721,83.66763565891472,3.8081395348837215,10,0
22,99.63953488372093,3.808139534883721,91.65358527131782,3.8081395348837215,11,0
23,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
24,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
25,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
26,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
27,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
28,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
29,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
30,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
31,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
32,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
33,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
34,99.63953488372093,3.808139534883721,99.63953488372094,3.8081395348837206,12,0
