run,round,mode,f1,recall,fpr
glfl_k1,10,gossip,95.7407,99.9646,0.6447
glfl_k1,11,federated,95.7407,99.9646,0.6447
glfl_k1,12,federated,95.7407,99.9646,0.6447
glfl_k1,13,federated,95.7407,99.9646,0.6447
glfl_k1,14,federated,95.7407,99.9646,0.6447
glfl_k1,15,federated,95.7407,99.9646,0.6447
glfl_k1,16,federated,95.7407,99.9646,0.6447
glfl_k1,17,federated,95.7407,99.9646,0.6447
glfl_k1,18,federated,95.7407,99.9646,0.6447
glfl_k1,19,federated,95.7407,99.9646,0.6447
glfl_k1,20,federated,95.7407,99.9646,0.6447
glfl_k1,21,federated,94.3490,91.7983,0.2034
glfl_k1,22,federated,94.3490,91.7983,0.2034
glfl_k1,23,federated,94.3490,91.7983,0.2034
glfl_k1,24,federated,94.3490,91.7983,0.2034
glfl_k1,25,federated,94.3490,91.7983,0.2034
glfl_k1,26,federated,94.3490,91.7983,0.2034
glfl_k1,27,federated,94.3490,91.7983,0.2034
glfl_k1,28,federated,94.3490,91.7983,0.2034
glfl_k1,29,federated,94.3490,91.7983,0.2034
glfl_k1,30,federated,94.3490,91.7983,0.2034
glfl_k1,31,federated,90.7645,83.1250,0.0030
glfl_k1,32,federated,90.7645,83.1250,0.0030
glfl_k1,33,federated,90.7645,83.1250,0.0030
glfl_k1,34,federated,90.7645,83.1250,0.0030
glfl_k1,35,federated,90.7645,83.1250,0.0030
glfl_k1,36,federated,90.7645,83.1250,0.0030
glfl_k1,37,federated,90.7645,83.1250,0.0030
glfl_k1,38,federated,90.7645,83.1250,0.0030
glfl_k1,39,federated,90.7645,83.1250,0.0030
glfl_k1,40,federated,90.7645,83.1250,0.0030
glfl_k1,41,federated,90.5637,82.7889,0.0030
glfl_k1,42,federated,90.5637,82.7889,0.0030
glfl_k1,43,federated,90.5637,82.7889,0.0030
glfl_k1,44,federated,90.5637,82.7889,0.0030
glfl_k1,45,federated,90.5637,82.7889,0.0030
glfl_k1,46,federated,90.5637,82.7889,0.0030
glfl_k1,47,federated,90.5637,82.7889,0.0030
glfl_k1,48,federated,90.5637,82.7889,0.0030
glfl_k1,49,federated,90.5637,82.7889,0.0030
glfl_k1,50,federated,90.5637,82.7889,0.0030
glfl_k1,51,federated,85.9342,75.3685,0.0030
glfl_k1,52,federated,85.9342,75.3685,0.0030
glfl_k1,53,federated,85.9342,75.3685,0.0030
glfl_k1,54,federated,85.9342,75.3685,0.0030
glfl_k1,55,federated,85.9342,75.3685,0.0030
glfl_k1,56,federated,85.9342,75.3685,0.0030
glfl_k1,57,federated,85.9342,75.3685,0.0030
glfl_k1,58,federated,85.9342,75.3685,0.0030
glfl_k1,59,federated,85.9342,75.3685,0.0030
glfl_k1,60,federated,85.9342,75.3685,0.0030
glfl_k1,61,federated,85.3600,74.4900,0.0030
glfl_k1,62,federated,85.3600,74.4900,0.0030
glfl_k1,63,federated,85.3600,74.4900,0.0030
