N,GL_msgs,GL_comm_MB,digest_unsigned_B,digest_signed_B,vote_overhead_unsigned_pct,vote_overhead_signed_pct,quorum_latency_rounds_ring
10,887,11.180484,2,98,0.015866933846513262,0.77747975847915,13
14,1643,21.322653,2,98,0.015410840292715921,0.7551311743430801,19
20,3197,40.66538,3,99,0.023585172448898795,0.7783106908136602,28
30,6907,88.724407,4,100,0.03113912049026149,0.7784780122565372,43
50,18527,241.539349,7,103,0.053692700811245456,0.790049740508326,73
70,35747,463.176907,9,105,0.0694600691739582,0.8103674736961789,103
100,72077,938.757587,13,109,0.09981288172534365,0.8368926236971121,148
